1,2,3,4,5,6,7,8,9,10
J. Hurts,L. Jackson,J. Cook,R. Odunze,P. Mahomes,C. Kupp,A. Cooper,Z. Flowers,M. Nabers,J. Hurts
QB - PHI,QB - BAL,RB - BUF,WR -,QB - KC,WR - LAR,WR - CLE,WR - BAL,WR -,QB - PHI
6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6
I. Pacheco,J. Addison,D. Henry,A. Jones,C. Ridley,J. Addison,T. McBride,J. Jacobs,J. Conner,T. McBride
RB - KC,WR - MIN,RB - BAL,RB - MIN,WR - TEN,WR - MIN,TE - ARI,RB - GB,RB - ARI,TE - ARI
7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
A. Kamara,A. Kamara,D. Kincaid,D. Hopkins,D. Hopkins,K. Walker,K. Walker,A. Richardson,D. Hopkins,C. Godwin
RB - NO,RB - NO,TE - BUF,WR - TEN,WR - TEN,RB - SEA,RB - SEA,QB - IND,WR - TEN,WR - TB
8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6
G. Pickens,D. Kincaid,K. Murray,T. Pollard,D. Montgomery,G. Kittle,D. Montgomery,J. Smith-Njigba,D. Prescott,N. Harris
WR - PIT,TE - BUF,QB - ARI,RB - TEN,RB - DET,TE - SF,RB - DET,WR - SEA,QB - DAL,RB - PIT
9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
R. Doubs,A. Ekeler,B. Robinson,A. Ekeler,J. Ferguson,K. Murray,D. Johnson,J. Ferguson,B. Robinson,C. Watson
WR - GB,RB - WAS,RB - WAS,RB - WAS,TE - DAL,QB - ARI,WR - CAR,TE - DAL,RB - WAS,WR - GB
10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6
C. Sutton,K. Shakir,J. Mixon,C. Brown,J. Williams,J. Mixon,J. Mixon,J. Mixon,J. Ferguson,K. Shakir
WR - DEN,WR - BUF,RB - HOU,RB - CIN,WR - DET,RB - HOU,RB - HOU,RB - HOU,TE - DAL,WR - BUF
11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5
D. Swift,B. Purdy,M. Williams,B. Purdy,D. Schultz,B. Purdy,J. Herbert,T. Hockenson,C. Brown,T. Hockenson
RB - CHI,QB - SF,WR - NYJ,QB - SF,TE - HOU,QB - SF,QB - LAC,TE - MIN,RB - CIN,TE - MIN
12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6
